EstablishmentName,Easting,Northing
The Falcons School for Boys,519997,177937
Eaton House - the Vale School,526225,179237
Duff Miller College,526459,179022
St James Senior Girls School,524403,178848
Davies Laing and Dick College,528415,181473
Thomas's Battersea,526893,176621
Pembridge Hall School,525458,180723
Instituto Espanol Canada Blanch,524369,181680
Knightsbridge School,527623,179103
Thomas's Kensington,525872,179320
Lansdowne College,525723,180696
Ashbourne Independent School,525763,179751
Cameron House School,526802,177872
Collingham,525866,178591
Mander Portman Woodward School,526502,178737
Portland Place School,528802,181843
Southbank International School,525102,180625
St Nicholas Preparatory School,526885,179631
David Game College,525255,180419
La Petite Ecole Francaise,523810,181595
Lycee Francais Charles de Gaulle,526663,178950
Parkwood Hall School,552900,168581
Chelsea  Community Hospital  School,526369,177713
Triangle Nursery School,529788,175189
Effra Nursery School and Early Years Centre,531443,174834
Ethelred Nursery School and Children's Centre,531166,178580
Maytree Nursery School,529886,174163
Holmewood Nursery School,530740,173735
Ashmole Primary School,530994,177580
Clapham Manor Primary School,529473,175582
Granton Primary School,529288,170025
Heathbrook Primary School,529067,176207
Henry Cavendish Primary School,529164,173386
Jessop Primary School,531996,175145
Kingswood Primary School,532856,171503
Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism),529999,176292
Paxton Primary School,533512,170963
Richard Atkins Primary School,530256,173786
Stockwell Primary School,530821,175861
Sudbourne Primary School,530757,174948
Sunnyhill Primary School,530786,171686
Telferscot Primary School,529567,173153
Vauxhall Primary School,530783,178344
Walnut Tree Walk Primary School,531071,178909
Woodmansterne Primary School,529774,169818
Wyvil Primary School and Centre for Children With Speech and Language Impairment,530264,177481
Crown Lane Primary School,531556,171096
Fenstanton Primary School,531198,173161
Elm Wood School,532733,172061
Allen Edwards Primary School,530167,176541
Glenbrook Primary School,529881,174323
Julian's School,531088,171663
Herbert Morrison Primary School,530243,177187
Streatham Wells Primary School,531042,172902
Archbishop Sumner Church of England Primary School,531312,178655
Christ Church Church of England Primary School,531482,176949
"Christ Church , Streatham Church of England Primary School",530642,173424
Macaulay Church of England Primary School,528789,175481
St Andrew's Church of England Primary School,530518,176047
St John the Divine Church of England Primary School,531782,177253
St John's Angell Town Church of England Primary School,531478,176039
St Jude's Church of England Primary School,531761,174518
St Leonard's Church of England Primary School,529711,171437
St Luke's Church of England Primary School,532197,171468
St Mark's Church of England Primary School,530822,177860
St Saviour's Church of England Primary School,532228,175575
St Stephen's Church of England Primary School,530488,177314
Holy Trinity Church of England Primary School,530854,173742
St Helen's Catholic School,531142,175926
Norwood School,532224,171065
Lilian Baylis Technology School,530793,178036
Saint Gabriel's College,531908,176914
St Bernadette Catholic Junior School,529156,173718
St Anne's Catholic Primary School,530677,177967
St Bede's Catholic Infant School,529666,173374
St Andrew's Catholic Primary School,530403,171145
Immanuel and St Andrew Church of England Primary School,530019,170582
Reay Primary School,530994,177078
St Mary's Roman Catholic Primary School,529453,174993
La Retraite Roman Catholic Girls' School,529156,173718
Bishop Thomas Grant Catholic Secondary School,530893,171230
Archbishop Tenison's School,530917,177632
London Nautical School,531386,180308
Turney Primary and Secondary Special School,532287,173727
Oakfield Preparatory School,532627,173038
Rosemead Preparatory School,532233,172849
Streatham and Clapham High School,529515,172342
The White House Preparatory School & Woodentops Kindergarten,529668,173481
Lansdowne School,530681,175912
Elm Court School,530976,173788
Clyde Early Childhood Centre,536620,177982
Chelwood Nursery School,536087,175107
Adamsrill Primary School,536254,172024
Athelney Primary School,537455,172415
Baring Primary School,540086,173628
Beecroft Garden Primary,536543,174956
Childeric Primary School,536358,177160
Cooper's Lane Primary School,540545,172843
Dalmain Primary School,536070,173436
Deptford Park Primary School,536327,178410
Downderry Primary School,539164,171810
Edmund Waller Primary School,535632,176449
Elfrida Primary School,537494,171845
Forster Park Primary School,539371,172482
Gordonbrock Primary School,537110,174807
