Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing,lat,lng
,,St Ursula's Convent School,Girls,Greenwich,Greenwich,SE10 8HN,16,11,Crooms Hill,London,Voluntary Aided School,538590,177088,51.47578431986679,-0.005795353079721258
,,Blackheath Bluecoat Church of England School,Mixed,Greenwich,Blackheath,SE3 8SY,18,11,Old Dover Road,London,Voluntary Aided School,540926,177226,51.476447754702846,0.027873656618228812
,,St Thomas More Roman Catholic Comprehensive School,Mixed,Greenwich,,SE9 2SU,16,11,Footscray Road,London,Voluntary Aided School,543353,174161,51.44829730039869,0.0615552621124431
,,Hawksmoor School,Mixed,Greenwich,Thamesmead,SE28 8AS,11,3,Bentham Road,London,Foundation School,546726,180495,51.504347554001555,0.11268802580031191
,,The Pointer School,Mixed,Greenwich,Blackheath,SE3 7TH,11,2,19 Stratheden Road,London,Other Independent School,540209,177029,51.474855543271495,0.01747806862032021
,,Blackheath Preparatory School,Mixed,Greenwich,Blackheath,SE3 0NJ,11,3,4 St German's Place,London,Other Independent School,540095,176757,51.47243958724623,0.015729935422295276
,,Riverston School,Mixed,Greenwich,Lee Green,SE12 8UF,17,2,63-69 Eltham Road,London,Other Independent School,540433,174828,51.45502201173913,0.019827686115057648
,,St Olave's Preparatory School,Mixed,Greenwich,New Eltham,SE9 3QS,11,3,106-110 Southwood Road,London,Other Independent School,543704,172762,51.43563741187756,0.06603537149339825
,,Colfes School,Mixed,Greenwich,Lee,SE12 8AW,18,3,Horn Park Lane,London,Other Independent School,540572,174309,51.45032384344454,0.021620876707992332
,,Heath House Preparatory School,Mixed,Lewisham,Blackheath,SE3 0TG,11,3,37 Wemyss Road,London,Other Independent School,539675,176150,51.46708885552807,0.009447037844497555
,,Moatbridge School,Boys,Greenwich,Eltham,SE9 5LX,16,11,Eltham Palace Road,London,Community Special School,541778,174205,51.4490888800055,0.03892324102018982
,,Wentworth Nursery School and Children's Centre,Mixed,Hackney,,E9 5BY,5,3,Cassland Road,London,LA Nursery School,535916,184524,51.54325391651074,-0.04141060041041148
,,Comet Nursery School and Children's Centre,Mixed,Hackney,Hoxton,N1 5RF,5,3,20 Halcomb Street,London,LA Nursery School,533227,183661,51.53613935225145,-0.08048986362415747
,,Berger Primary School,Mixed,Hackney,Hackney,E9 6HB,11,3,Anderson Road,London,Community School,535671,184827,51.54603562286238,-0.04482467710883869
,,Colvestone Primary School,Mixed,Hackney,,E8 2LG,11,3,Colvestone Crescent,London,Community School,533631,185118,51.549137004119444,-0.07411572479106117
,,Daubeney Primary School,Mixed,Hackney,Clapton,E5 0EG,11,3,Daubeney Road,London,Community School,536126,185583,51.55271964073397,-0.03797483846180973
,,De Beauvoir Primary School,Mixed,Hackney,,N1 4BZ,11,3,Tottenham Road,London,Community School,533444,184690,51.54533507758303,-0.07697323917751499
