EstablishmentName,Easting,Northing,lat,lng
Drayton Park Primary School,531433,185329,51.55154899106431,-0.10571833929828416
Duncombe Primary School,530146,187006,51.56691752619148,-0.12364982446896293
Gillespie Primary School,531802,186280,51.560009078834355,-0.10004328284184642
Grafton Primary School,530483,186145,51.55910232105367,-0.11910975451322502
Hanover Primary School,531982,183273,51.53294481680483,-0.09857510614210202
Hargrave Park Primary School,529082,186622,51.56371102556902,-0.13913323389218152
Laycock Primary School,531535,184551,51.54453377106198,-0.10453866043123515
Moreland Primary School,531942,182766,51.528398020867925,-0.09934122463307818
Pakeman Primary School,530838,186121,51.55880447996091,-0.1140006395718706
Robert Blair Primary School,530342,184544,51.54474743236403,-0.12173528165504927
Thornhill Primary School,531173,184131,51.54084362741834,-0.1099123328332982
Vittoria Primary School,530952,183516,51.53536818909248,-0.11332578106526414
Winton Primary School,530634,183172,51.532350427673514,-0.11803551843492918
Yerbury Primary School,529695,186359,51.561207035421695,-0.1303915715263956
Tufnell Park Primary School,529772,185609,51.55444940479704,-0.12955794535032186
Highbury Quadrant Primary School,532387,185620,51.553941174838556,-0.09185752410938713
Ashmount Primary School,530090,187755,51.57366135067481,-0.1241802678439541
Prior Weston Primary School and Children's Centre,532376,182029,51.52167352182221,-0.09336520970165664
Hungerford Primary School and Children's Centre,529995,184974,51.548691632762555,-0.1265777167826328
Clerkenwell Parochial CofE Primary School,531189,182756,51.52848345508937,-0.11019360569938082
Sacred Heart RC Primary School,530896,185179,51.55032575080172,-0.11351474280424766
St John Evangelist RC Primary School,531600,183377,51.5339685082021,-0.10404037466465525
St John's Upper Holloway CofE Primary School,529508,186512,51.5626249175538,-0.13303139000541114
St John's Highbury Vale CofE Primary School,531758,186077,51.55819510535828,-0.10075364154910292
St Joseph's RC Primary School,528892,187162,51.56860722463003,-0.14167492740876456
St Jude and St Paul's CofE Primary School,533263,184936,51.547588452133866,-0.07948878856910045
St Luke's CofE Primary School,532463,182576,51.52656872252967,-0.09190649742030887
St Mark's CofE Primary School,530342,186726,51.564356067445935,-0.12092733967814565
St Mary's CofE Primary School,531845,184012,51.539617795520215,-0.10027258741746858
St Peter and St Paul RC Primary School,531847,182367,51.52483458720915,-0.10085911377988406
St Andrew's (Barnsbury) Church of England Primary School,530855,183827,51.538185475111646,-0.11460801209669153
St Joan of Arc RC Primary School,532024,185906,51.556596284893786,-0.09698297738500357
Christ The King RC Primary School,530746,186961,51.56637445305555,-0.1150148543396501
Blessed Sacrament RC Primary School,530554,183629,51.53647577546651,-0.11901891080908805
Highbury Grove School,531981,185153,51.54983956289916,-0.09788517254807103
Holloway School,529750,185518,51.553636681406644,-0.12990863083837037
Highbury Fields School,531721,185476,51.55280289057195,-0.1015119599031662
Elizabeth Garrett Anderson Language College,531007,183248,51.53294704931517,-0.1126328823329776
Central Foundation Boys' School,532888,182441,51.525255789524174,-0.08583461619134211
St Aloysius RC College,529090,187296,51.5697661734374,-0.13877054339893105
Mount Carmel RC Technology College for Girls,529728,187094,51.56780458161045,-0.12964475865448075
Italia Conti Academy of Theatre Arts,532064,182084,51.52224075565482,-0.09783898534785825
Dallington School,531874,182346,51.52463957220633,-0.1004780037880826
The Charterhouse Square School,531998,181875,51.52037799785085,-0.09886795176199874
Richard Cloudesley PH School,532218,182247,51.523669547933245,-0.09555947082563385
Samuel Rhodes MLD School,531243,183843,51.53823925606497,-0.10901083365350953
Golborne Children's Centre,524508,181712,51.52061243286337,-0.20682161009765643
St Anne's Nursery School,523612,180946,51.513924949168256,-0.21999749606016933
Chelsea Open Air Nursery School and Children's Centre,527203,177835,51.485170382329095,-0.1693959787012076
Maxilla Nursery School,523883,181209,51.51622924330942,-0.2160017873971466
The Latimer Education Centre/Pupil Referral Unit,523612,180946,51.513924949168256,-0.21999749606016933
Ashburnham Community School,526554,177396,51.481370592965995,-0.1788949826062376
Barlby Primary School,523831,181997,51.52332244870421,-0.2164741727245474
Bevington Primary School,524414,181794,51.521370064629586,-0.20814681186809844
Bousfield Primary School,526029,178368,51.49022305693716,-0.18610472048453408
Colville Primary School,524779,181067,51.51475605958279,-0.20314584329093022
Fox Primary School,525233,180251,51.50732230536491,-0.19689614067508285
Marlborough Primary School,527432,178683,51.49273973862194,-0.1657939091073136
Middle Row Primary School,524136,182280,51.52579888418087,-0.21198056831247275
Oxford Gardens Primary School,523676,181272,51.51684074685168,-0.21896139269571344
Park Walk Primary School,526612,177707,51.48415256230935,-0.17794879247384313
Avondale Park Primary School,524052,180593,51.51065615454715,-0.2137840277754559
Thomas Jones Primary School,524214,181162,51.515734231214765,-0.21125052710479647
Christ Church CofE Primary School,527556,177871,51.485414469343866,-0.16430187125486634
Holy Trinity CofE Primary School,528059,178778,51.49345194064492,-0.1567329156116599
Oratory Roman Catholic Primary School,527141,178427,51.49050455314354,-0.17007541918250915
St Thomas' CofE Primary School,524351,182075,51.52390928255327,-0.20895530073551927
St Barnabas and St Philip's CofE Primary School,525153,179172,51.49764302937898,-0.1984307092719772
Saint Francis of Assisi Catholic Primary School,523827,180762,51.51222428390043,-0.21696529739659648
St Clement and St James CofE Primary School,524226,180422,51.5090811712347,-0.21133818305524354
St Joseph RC Primary School,527685,178707,51.49289839155917,-0.16214293122781517
St Mary Abbots CofE Primary School,525573,179680,51.50211535548465,-0.19220280309705048
St Cuthbert with St Matthias CofE Primary School,525509,178268,51.48943991951631,-0.19362610856543522
Saint Mary RC Primary School,524221,182203,51.525088207633736,-0.21078307685795522
Servite RC Primary School,526204,177810,51.485169333760965,-0.1837847298890908
Holland Park School,524948,179954,51.50471619475894,-0.2011056489671581
Saint Thomas More Language College,527685,178707,51.49289839155917,-0.16214293122781517
Sion-Manning RC Girls' School,523952,181650,51.52017741795619,-0.2148529363288475
Our Lady of Victories RC Primary School,526486,178667,51.49280819363827,-0.17941879132353933
St Charles RC Primary School,523928,181778,51.521333024018034,-0.21515369502867068
The Cardinal Vaughan Memorial RC School,524213,179844,51.503889500085414,-0.2117287937583393
Redcliffe School,526010,177915,51.4861561885875,-0.18653977897427693
Glendower Preparatory School,526502,178797,51.49397291788102,-0.17914189322708296
Kensington Prep School,524946,176910,51.477360071549455,-0.20221092897446738
Norland Place School,524211,180097,51.506163668682625,-0.21166857857447602
Queen's Gate School,526555,178883,51.49473394208038,-0.17834804299778817
Bassett House School,523767,181435,51.51828572831576,-0.21759339772234218
Sussex House School,527728,178892,51.49455125267601,-0.16145699057906898
St Philip's School,526259,178659,51.492786992676145,-0.18268968595661392
Hill House School,527797,179194,51.497249695964385,-0.16035432870913793
Wetherby School,525308,180690,51.511250981162995,-0.19566018024321952
Falkner House,526362,178482,51.491173312827065,-0.18127014143643244
More House School,527841,179203,51.49732063703397,-0.159717565465388
Garden House School,527991,178367,51.48977374059775,-0.15786078228096403
The Falcons School for Boys,519997,177937,51.48766066117303,-0.27309016237584605
Eaton House - the Vale School,526225,179237,51.49798903271934,-0.18297262227482636
Duff Miller College,526459,179022,51.49600458868779,-0.1796804119403156
St James Senior Girls School,524403,178848,51.49489662488073,-0.20934359069786773
